,name,price,img,about,ing,category
"Fresho Onion, 1 kg","Fresho Onion, 1 kg",29,https://www.bigbasket.com/media/uploads/p/s/10000148_28-fresho-onion.jpg,"
            Onion is a vegetable which is almost like a staple in Indian food. This is also known to be one of the essential ingredients of raw salads. They come in different colours like white, red or yellow and are quite in demand in cold salads and hot soups. You can dice, slice or cut it in rings and put it in burgers and sandwiches. Onions emit a sharp flavour and fragrance once they are fried; it is due to the sulphur compound in the vegetable.
        ","Fresho Onion, 1 kg",FRESH VEGETABLES
"Fresho Onion - Medium, 2 kg","Fresho Onion - Medium, 2 kg",70,https://www.bigbasket.com/media/uploads/p/s/10000149_13-fresho-onion-medium.jpg,"
            Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.
        ","Fresho Onion - Medium, 2 kg",FRESH VEGETABLES
"Fresho Onion, 5 kg","Fresho Onion, 5 kg",195,https://www.bigbasket.com/media/uploads/p/s/10000150-4_2-fresho-onion.jpg,"
            Onion can fill your kitchen with a thick spicy aroma. It is a common base vegetable in most Indian dishes, thanks to the wonderful flavor that it adds to any dish.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/ 
","Fresho Onion, 5 kg",FRESH VEGETABLES
"Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg","Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",55,https://www.bigbasket.com/media/uploads/p/s/10000152-3_5-fresho-papaya-medium.jpg,"
            Semi ripe papayas have blend of sweet buttery consistency and sour taste. They are half green and half yellow. Ripe papaya have orange flesh and black coloured seeds at the centre. Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/557/raw-papaya-and-coconut-curry/ 
","Fresho Papaya - Medium, 1 pc 1 kg - 1.5 kg",FRESH FRUITS
"Fresho Parsley Leaves - Curly, 100 g","Fresho Parsley Leaves - Curly, 100 g",20,https://www.bigbasket.com/media/uploads/p/s/10000154-3_1-fresho-parsley-leaves-curly.jpg,"
            With a mild taste and a pleasant grassy flavor, Parsley is a fresh herb with dark-green curled leaves that resemble coriander leaves. It has decorative ruffled leaves that make it the perfect garnishing option.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1946/strawberry-quinoa-salad/ 
","Fresho Parsley Leaves - Curly, 100 g",HERBS & SEASONINGS
"Fresho Parsley Leaves - Curly, 250 g","Fresho Parsley Leaves - Curly, 250 g",27,https://www.bigbasket.com/media/uploads/p/s/10000155-3_1-fresho-parsley-leaves-curly.jpg,"
            With a mild taste and a pleasant grassy flavor, Parsley is a fresh herb with dark-green curled leaves that resemble coriander leaves. It has decorative ruffled leaves that make it the perfect garnishing option.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1946/strawberry-quinoa-salad/ 
","Fresho Parsley Leaves - Curly, 250 g",HERBS & SEASONINGS
"Fresho Pineapple, 1 pc 750-800","Fresho Pineapple, 1 pc 750-800",52,https://www.bigbasket.com/media/uploads/p/s/10000156-4_2-fresho-pineapple.jpg,"
            With the shape of a pine cone, the fruit is loosely fibrous and juicy with white to yellowish flesh. The edible center part is firm, leathery and sweet.   Do not forget to check our delicious fruit recipe -  https://www.bigbasket.com/cookbook/recipes/865/american-pineapple-upside-down-cake-egg-free/ 
","Fresho Pineapple, 1 pc 750-800",FRESH FRUITS
"Fresho Pak Choi, 500 g","Fresho Pak Choi, 500 g",30,https://www.bigbasket.com/media/uploads/p/s/10000158_14-fresho-pak-choi.jpg,"
            Pak Choi is a chinese celery cabbage with crisp leaves and stalk. Its flavour is somewhat a mix of mild cabbage and spinach.
        ","Fresho Pak Choi, 500 g",EXOTIC FRUITS & VEGGIES
"Fresho Potato, 1 kg","Fresho Potato, 1 kg",33,https://www.bigbasket.com/media/uploads/p/s/10000159-3_3-fresho-potato.jpg,"
            Fresho Potatoes are nutrient-dense, non-fattening and have reasonable amount of calories. Include them in your regular meals so that the body receives a good supply of carbohydrates, dietary fibers and essential minerals such as copper, magnesium, and iron. In India, potatoes are probably the second-most consumed vegetables after onions. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/ 
","Fresho Potato, 1 kg",FRESH VEGETABLES
"Fresho Pumpkin - Green, 1 kg","Fresho Pumpkin - Green, 1 kg",31,https://www.bigbasket.com/media/uploads/p/s/10000162-4_2-fresho-pumpkin-green.jpg,"
            Green pumpkins are round with slightly ribbed, deep green skin. Their flesh are creamish to light green, flat, edible seeds (pepitas) which are tender and mildly sweet. 
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/736/pumpkin-barfi/ 
","Fresho Pumpkin - Green, 1 kg",FRESH VEGETABLES
"Fresho Pumpkin - Green, 500 g","Fresho Pumpkin - Green, 500 g",16,https://www.bigbasket.com/media/uploads/p/s/10000163-4_2-fresho-pumpkin-green.jpg,"
            Green pumpkins are round with slightly ribbed, deep green skin. Their flesh are creamish to light green, flat, edible seeds (pepitas) which are tender and mildly sweet. 
 Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/736/pumpkin-barfi/ 
","Fresho Pumpkin - Green, 500 g",FRESH VEGETABLES
"Fresho Radish - White, 1 kg","Fresho Radish - White, 1 kg",27,https://www.bigbasket.com/media/uploads/p/s/10000164-4_2-fresho-radish-white.jpg,"
            Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/ 
","Fresho Radish - White, 1 kg",FRESH VEGETABLES
"Fresho Radish - White, 250 g","Fresho Radish - White, 250 g",8,https://www.bigbasket.com/media/uploads/p/s/10000165-4_2-fresho-radish-white.jpg,"
            Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/ 
","Fresho Radish - White, 250 g",FRESH VEGETABLES
"Fresho Radish - White, 500 g","Fresho Radish - White, 500 g",14,https://www.bigbasket.com/media/uploads/p/s/10000166-4_2-fresho-radish-white.jpg,"
            Radishes are a root crop with a crunchy texture and a sharp, spicy, hot or sweet taste. They are juicy and sometimes have a pungent smell. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1197/clear-vegetarian-soup-with-vegetarian-fritter/ 
","Fresho Radish - White, 500 g",FRESH VEGETABLES
"Fresho Banana - Raw Green, 1 kg","Fresho Banana - Raw Green, 1 kg",68,https://www.bigbasket.com/media/uploads/p/s/10000167-4_2-fresho-banana-raw-green.jpg,"
            Green banana is an unripened yellow banana. It is a superior supply of fiber, minerals, and vitamins and contains a starch. It is rich in vitamin B6, C, fiber & potassium. It performs more like a fiber than a starch. The resistant starch in green bananas has numerous health benefits.  Product image shown is for representation purpose only, the actually product may vary based on season, produce & availability. Click here for delicious vegetable recipes - https://www.bigbasket.com/flavors/collections/227/fresh-vegetables/ 
","Fresho Banana - Raw Green, 1 kg",FRESH FRUITS
"Fresho Banana - Raw Green, 500 g","Fresho Banana - Raw Green, 500 g",34,https://www.bigbasket.com/media/uploads/p/s/10000168-4_2-fresho-banana-raw-green.jpg,"
            Raw bananas are unripened bananas with a tough, green skin. Their flesh is white, dense and has a starchy-tart flavour. We selectively pick organically grown raw green bananas from the best farms.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/786/raw-banana-kofta/ 
","Fresho Banana - Raw Green, 500 g",FRESH FRUITS
"Fresho Banana - Raw Green, 250 g","Fresho Banana - Raw Green, 250 g",17,https://www.bigbasket.com/media/uploads/p/s/10000169-4_2-fresho-banana-raw-green.jpg,"
            Raw bananas are unripened bananas with a tough, green skin. Their flesh is white, dense and has a starchy-tart flavour. We selectively pick organically grown raw green bananas from the best farms.  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/786/raw-banana-kofta/ 
","Fresho Banana - Raw Green, 250 g",FRESH FRUITS
"Fresho Cabbage - Red, 1 kg","Fresho Cabbage - Red, 1 kg",31,https://www.bigbasket.com/media/uploads/p/s/10000170-4_2-fresho-cabbage-red.jpg,"
            It is round, wrapped in purplish red leaf layers. The flavour is more peppery and bold compared to green ones. Its leaves are coarser as they have less water content.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1561/violet-cabbage-walnut-salad/ 
","Fresho Cabbage - Red, 1 kg",FRESH VEGETABLES
"Fresho Cabbage - Red, 500 g","Fresho Cabbage - Red, 500 g",16,https://www.bigbasket.com/media/uploads/p/s/10000171-4_2-fresho-cabbage-red.jpg,"
            It is round, wrapped in purplish red leaf layers. The flavour is more peppery and bold compared to green ones. Its leaves are coarser as they have less water content.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1561/violet-cabbage-walnut-salad/ 
","Fresho Cabbage - Red, 500 g",FRESH VEGETABLES
"Fresho Capsicum - Red, 500 g","Fresho Capsicum - Red, 500 g",84,https://www.bigbasket.com/media/uploads/p/s/10000172-4_4-fresho-capsicum-red.jpg,"
            Leaving a sweet and fruity flavour on the tastebuds, Red capsicums, also known as red bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with fleshy texture on the inside. Red bell peppers are the most ripened and sweetest of all capsicums.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2347/pro-veg-platter-with-greek-yogurt-dip/ 
","Fresho Capsicum - Red, 500 g",FRESH VEGETABLES
"Fresho Capsicum - Red, 250 g","Fresho Capsicum - Red, 250 g",42,https://www.bigbasket.com/media/uploads/p/s/10000173-4_3-fresho-capsicum-red.jpg,"
            Leaving a sweet and fruity flavour on the tastebuds, Red capsicums, also known as red bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with fleshy texture on the inside. Red bell peppers are the most ripened and sweetest of all capsicums.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2347/pro-veg-platter-with-greek-yogurt-dip/ 
","Fresho Capsicum - Red, 250 g",FRESH VEGETABLES
"Fresho Radish - Red, 250 g","Fresho Radish - Red, 250 g",17,https://www.bigbasket.com/media/uploads/p/s/10000174-4_1-fresho-radish-red.jpg,"
            Pinkish to red and cylindrical-shaped, red radishes taper to a white flesh. These juicy, crispy radishes come with a tinge of spiciness.
        ","Fresho Radish - Red, 250 g",FRESH VEGETABLES
"Fresho Ridge Gourd, 1 kg","Fresho Ridge Gourd, 1 kg",42,https://www.bigbasket.com/media/uploads/p/s/10000175-4_1-fresho-ridge-gourd.jpg,"
            Ridge Gourds are long vegetables with a ridged dark green skin and white spongy flesh that contains numerous seeds inside. They are rich in fiber and very prominent in Indian cooking. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1347/narkel-diye-jhinge-ridge-gourd-subzi-with-coconut/ 
","Fresho Ridge Gourd, 1 kg",FRESH VEGETABLES
"Fresho Ridge Gourd, 500 g","Fresho Ridge Gourd, 500 g",22,https://www.bigbasket.com/media/uploads/p/s/10000176-4_1-fresho-ridge-gourd.jpg,"
            Ridge Gourds are long vegetables with a ridged dark green skin and white spongy flesh that contains numerous seeds inside. They are rich in fiber and very prominent in Indian cooking. 
Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1347/narkel-diye-jhinge-ridge-gourd-subzi-with-coconut/ 
","Fresho Ridge Gourd, 500 g",FRESH VEGETABLES
"Fresho Onion - Sambhar, 250 g","Fresho Onion - Sambhar, 250 g",69,https://www.bigbasket.com/media/uploads/p/s/10000178-3_1-fresho-onion-sambhar.jpg,"
            Also known as button onions, Sambar Onions are relatively smaller onions with a mild flavour and slightly sweet taste.
        ","Fresho Onion - Sambhar, 250 g",FRESH VEGETABLES
"Fresho Onion - Sambhar, 500 g","Fresho Onion - Sambhar, 500 g",137,https://www.bigbasket.com/media/uploads/p/s/10000179-3_1-fresho-onion-sambhar.jpg,"
            Also known as button onions, Sambar Onions are relatively smaller onions with a mild flavour and slightly sweet taste.
        ","Fresho Onion - Sambhar, 500 g",FRESH VEGETABLES
"Fresho Sapota, 1 kg","Fresho Sapota, 1 kg",52,https://www.bigbasket.com/media/uploads/p/s/10000182-4_1-fresho-sapota.jpg,"
            Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers and the best quality is delivered to you. 
  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/ 
","Fresho Sapota, 1 kg",FRESH FRUITS
"Fresho Sapota, 500 g","Fresho Sapota, 500 g",27,https://www.bigbasket.com/media/uploads/p/s/10000183-4_1-fresho-sapota.jpg,"
            Brown skinned sapotas are smooth to grainy textured, musky-scented and deliciously sweet in taste. The flesh generally contains 2-3 large and inedible black seeds. Fresho sapotas are freshly plucked by our farmers and the best quality is delivered to you. 
  Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1232/summer-fruit-salad/ 
","Fresho Sapota, 500 g",FRESH FRUITS
"Fresho Snake Gourd, 1 kg","Fresho Snake Gourd, 1 kg",63,https://www.bigbasket.com/media/uploads/p/s/10000184-3_1-fresho-snake-gourd.jpg,"
            Snake gourds are true to their name as they have a long, curved shape with light green speckles and a waxy green skin.  Their firm flesh is embedded with seeds and they taste like cucumber and have a slightly bitter taste. The fruits are orange in colour when ripe and pulpy red after complete ripening.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/794/aviall/ 
","Fresho Snake Gourd, 1 kg",FRESH VEGETABLES
"Fresho Snake Gourd, 500 g","Fresho Snake Gourd, 500 g",32,https://www.bigbasket.com/media/uploads/p/s/10000185-3_1-fresho-snake-gourd.jpg,"
            Snake gourds are true to their name as they have a long, curved shape with light green speckles and a waxy green skin.  Their firm flesh is embedded with seeds and they taste like cucumber and have a slightly bitter taste. The fruits are orange in colour when ripe and pulpy red after complete ripening.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/794/aviall/ 
","Fresho Snake Gourd, 500 g",FRESH VEGETABLES
"Fresho Snake Gourd, 250 g","Fresho Snake Gourd, 250 g",16,https://www.bigbasket.com/media/uploads/p/s/10000186-3_1-fresho-snake-gourd.jpg,"
            Snake gourds are true to their name as they have a long, curved shape with light green speckles and a waxy green skin.  Their firm flesh is embedded with seeds and they taste like cucumber and have a slightly bitter taste. The fruits are orange in colour when ripe and pulpy red after complete ripening.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/794/aviall/ 
","Fresho Snake Gourd, 250 g",FRESH VEGETABLES
"Fresho Palak, 1 kg","Fresho Palak, 1 kg",42,https://www.bigbasket.com/media/uploads/p/s/10000187-4_1-fresho-palak.jpg,"
            With a sweet, nutty and tangent flavour, Palaks are green leafy vegetables that are succulent and spoon shaped.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2235/green-detox-smoothie/ 
","Fresho Palak, 1 kg",FRESH VEGETABLES
"Fresho Palak, 500 g","Fresho Palak, 500 g",22,https://www.bigbasket.com/media/uploads/p/s/10000188-3_1-fresho-palak.jpg,"
            With a sweet, nutty and tangent flavour, Palaks are green leafy vegetables that are succulent and spoon shaped.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/2235/green-detox-smoothie/ 
","Fresho Palak, 500 g",FRESH VEGETABLES
"Fresho Sweet Corn / Indian Bhutta, 1 pc","Fresho Sweet Corn / Indian Bhutta, 1 pc",27,https://www.bigbasket.com/media/uploads/p/s/10000189-4_2-fresho-sweet-corn-indian-bhutta.jpg,"
            Wrapped in lime coloured husks with silk, sweet corn contains numerous yellow succulent kernels that have a starchy and doughy consistency. The skin pops out as you bite into it. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/132/sweet-corn-soup/ 
","Fresho Sweet Corn / Indian Bhutta, 1 pc",EXOTIC FRUITS & VEGGIES
"Fresho Sweet Corn Grade A, 500 g","Fresho Sweet Corn Grade A, 500 g",9,https://www.bigbasket.com/media/uploads/p/s/10000190-3_2-fresho-sweet-corn-grade-a.jpg,"
            Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep.  We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund.
        ","Fresho Sweet Corn Grade A, 500 g",FRESH VEGETABLES
"Fresho Mosambi, 6 pcs 800 gm - 1 kg","Fresho Mosambi, 6 pcs 800 gm - 1 kg",95,https://www.bigbasket.com/media/uploads/p/s/10000191-4_2-fresho-mosambi.jpg,"
            Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large sized with an underlying yellow base. The intense, refreshing aroma is due to essential oils present in the skin. It generally tastes sweet, occasionally tart to sweet. Do not forget to check our delicious fruit recipe - < a href=""https://www.bigbasket.com/cookbook/recipes/1847/coconut-chia-pudding-super-bowl/"">","Fresho Mosambi, 6 pcs 800 gm - 1 kg",FRESH FRUITS
"Fresho Mosambi, 4 pcs 700-900g","Fresho Mosambi, 4 pcs 700-900g",69,https://www.bigbasket.com/media/uploads/p/s/10000192-4_2-fresho-mosambi.jpg,"
            Fresho Mosambis are of the best quality, handpicked and sourced directly from the farmers of Anantapur. Sweet lime or mosambi is lime-like, large sized with an underlying yellow base. The intense, refreshing aroma is due to essential oils present in the skin. It generally tastes sweet, occasionally tart to sweet. Do not forget to check our delicious fruit recipe - < a href=""https://www.bigbasket.com/cookbook/recipes/1847/coconut-chia-pudding-super-bowl/"">https://www.bigbasket.com/cookbook/recipes/1847/coconut-chia-pudding-super-bowl/","Fresho Mosambi, 4 pcs 700-900g",FRESH FRUITS
"Fresho Sweet Potato, 1 kg","Fresho Sweet Potato, 1 kg",58,https://www.bigbasket.com/media/uploads/p/s/10000193-4_2-fresho-sweet-potato.jpg,"
            With flesh colours ranging from white, orange and yellow, sweet potatoes are ovate and cylindrical with golden brown or white-brown skin and a delicious sweet flavour.  While the white fleshed are firm, orange fleshed are softer.  Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1730/healthy-sweet-potato-rabri/ 
","Fresho Sweet Potato, 1 kg",FRESH VEGETABLES
"Fresho Sweet Potato, 500 g","Fresho Sweet Potato, 500 g",30,https://www.bigbasket.com/media/uploads/p/s/10000194-4_2-fresho-sweet-potato.jpg,"
            With flesh colours ranging from white, orange and yellow, sweet potatoes are ovate and cylindrical with golden brown or white-brown skin and a delicious sweet flavour.  While the white fleshed are firm, orange fleshed are softer.  Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1730/healthy-sweet-potato-rabri/ 
","Fresho Sweet Potato, 500 g",FRESH VEGETABLES
"Fresho Sweet Potato, 250 g","Fresho Sweet Potato, 250 g",15,https://www.bigbasket.com/media/uploads/p/s/10000195-4_2-fresho-sweet-potato.jpg,"
            With flesh colours ranging from white, orange and yellow, sweet potatoes are ovate and cylindrical with golden brown or white-brown skin and a delicious sweet flavour.  While the white fleshed are firm, orange fleshed are softer.  Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1730/healthy-sweet-potato-rabri/ 
","Fresho Sweet Potato, 250 g",FRESH VEGETABLES
"Fresho Tapioca, 250 g","Fresho Tapioca, 250 g",8,https://www.bigbasket.com/media/uploads/p/s/10000196-4_2-fresho-tapioca.jpg,"
            Starchy and mild flavoured Tapiocas are edible roots with a grainy textured flesh.
        ","Fresho Tapioca, 250 g",FRESH VEGETABLES
"Fresho Tapioca, 500 g","Fresho Tapioca, 500 g",16,https://www.bigbasket.com/media/uploads/p/s/10000197-4_2-fresho-tapioca.jpg,"
            Starchy and mild flavoured Tapiocas are edible roots with a grainy textured flesh.
        ","Fresho Tapioca, 500 g",FRESH VEGETABLES
"Fresho Tomato - Cherry, 250 g","Fresho Tomato - Cherry, 250 g",11,https://www.bigbasket.com/media/uploads/p/s/10000198_9-fresho-tomato-cherry.jpg,"
            Having the size, colour and juiciness of cherries, cherry tomatoes are sweeter to taste than regular varieties. We pick these tomatoes from reputed farmers and store in hygienic conditions to maintain their freshness. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1504/tomato-feta-omelette/ 
","Fresho Tomato - Cherry, 250 g",EXOTIC FRUITS & VEGGIES
"Fresho Tomato Hybrid, 2 kg approx. 24 to 25 nos","Fresho Tomato Hybrid, 2 kg approx. 24 to 25 nos",69,https://www.bigbasket.com/media/uploads/p/s/10000199_6-fresho-tomato-hybrid.jpg,"
            Tomato Hybrid is a delightfully popular and flexible food that comes in numerous different varieties that vary in shape, size and color. It is filled with the 50% more of the helpful antioxidant lycopene which offers the fruitÃ¢â‚¬â„¢s red color. These are rich in moisture, minerals and vitamins, and phytonutrients. They are an superb supply of vitamins C, B6 and K, biotin, beta-carotene, potassium, niacin, calcium, phosphorous, iron, selenium and zinc, as well as of many organic acids such as citric and malic acids.
        ","Fresho Tomato Hybrid, 2 kg approx. 24 to 25 nos",FRESH VEGETABLES
"Fresho Tomato - Hybrid, 1 kg","Fresho Tomato - Hybrid, 1 kg",23,https://www.bigbasket.com/media/uploads/p/s/10000200-4_2-fresho-tomato-hybrid.jpg,"
            Tomato Hybrids are high-quality fruits compared to desi, local tomatoes. They contain numerous edible seeds and are red in colour due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1465/cheesy-tomato-disks/ 
","Fresho Tomato - Hybrid, 1 kg",FRESH VEGETABLES
"Fresho Tomato - Hybrid, 500 g","Fresho Tomato - Hybrid, 500 g",12,https://www.bigbasket.com/media/uploads/p/s/10000201-4_2-fresho-tomato-hybrid.jpg,"
            Tomato Hybrids are high-quality fruits compared to desi, local tomatoes. They contain numerous edible seeds and are red in colour due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/1465/cheesy-tomato-disks/ 
","Fresho Tomato - Hybrid, 500 g",FRESH VEGETABLES
"Fresho Tomato Local Grade A, 2 kg","Fresho Tomato Local Grade A, 2 kg",32,https://www.bigbasket.com/media/uploads/p/s/10000202-2_2-fresho-tomato-local-grade-a.jpg,"
            Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep.  We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund. An assortment of ripened and semi-ripened tomatoes to last you longer
        ","Fresho Tomato Local Grade A, 2 kg",FRESH VEGETABLES
"Fresho Tomato - Local, 1 kg","Fresho Tomato - Local, 1 kg",21,https://www.bigbasket.com/media/uploads/p/s/10000203-4_2-fresho-tomato-local.jpg,"
            Local tomatoes are partly sour and partly sweet and contain many seeds inside which are edible. The red colour present in tomatoes is due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-
https://www.bigbasket.com/cookbook/recipes/935/tomato-chutney-for-dosa-and-idly/ 
","Fresho Tomato - Local, 1 kg",FRESH VEGETABLES
"Fresho Tomato - Local, 500 g","Fresho Tomato - Local, 500 g",12.50,https://www.bigbasket.com/media/uploads/p/s/10000204-4_2-fresho-tomato-local.jpg,"
            Local tomatoes are partly sour and partly sweet and contain many seeds inside which are edible. The red colour present in tomatoes is due to lycopene, an anti-oxidant. Do not forget to check out our delicious recipe-
https://www.bigbasket.com/cookbook/recipes/935/tomato-chutney-for-dosa-and-idly/ 
","Fresho Tomato - Local, 500 g",FRESH VEGETABLES
"Fresho Turnip, 500 g","Fresho Turnip, 500 g",16,https://www.bigbasket.com/media/uploads/p/s/10000205-3_1-fresho-turnip.jpg,"
            With a white, firm and crunchy flesh, Turnips are made of edible roots, stem and leaves. They are starchy and succulent with a sweet and peppery flavour. Do not forget to check out our delicious recipe-https://www.bigbasket.com/cookbook/recipes/360/shalgam-ki-subzi/ 
","Fresho Turnip, 500 g",FRESH VEGETABLES
"Fresho Water Melon - Kiran, 1 pc (2 kg)","Fresho Water Melon - Kiran, 1 pc (2 kg)",22,https://www.bigbasket.com/media/uploads/p/s/10000206-2_10-fresho-water-melon-kiran.jpg,"
            Fresho is our brand of fresh fruits and vegetables which are individually handpicked everyday by our experienced and technically competent buyers. Our buying, storing and packaging processes are tailored to ensure that only the fresh, nutrient dense, healthy and delicious produce reaches your doorstep.  We guarantee the quality of all Fresho products. If you're not satisfied with the freshness of the items, you can hand them back to our Customer Experience Executive (CEE) for a full refund.
        ","Fresho Water Melon - Kiran, 1 pc (2 kg)",FRESH FRUITS
"Fresho Watermelon  - Small, 1 pc 1.7 - 2.5 kg","Fresho Watermelon  - Small, 1 pc 1.7 - 2.5 kg",65,https://www.bigbasket.com/media/uploads/p/s/10000207-4_2-fresho-watermelon-small.jpg,"
            With greenish black to smooth dark green surface, Fresho watermelons are globular in shape and are freshly picked for you directly from our farmers The juicy, sweet and grainy textured flesh is filled with 12-14% of sugar content, making it a healthy alternative to sugary carbonated drinks. Flesh colour of these watermelons are pink to red with dark brown/black seeds.
 Do not forget to check our delicious fruit recipe - https://www.bigbasket.com/cookbook/recipes/1181/watermelon-mocktail/ 
","Fresho Watermelon  - Small, 1 pc 1.7 - 2.5 kg",FRESH FRUITS
"Fresho Capsicum - Yellow, 500 g","Fresho Capsicum - Yellow, 500 g",84,https://www.bigbasket.com/media/uploads/p/s/10000208-4_2-fresho-capsicum-yellow.jpg,"
            Leaving a mild fruity flavour on the tastebuds, Yellow capsicums, also known as Yellow bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with a fleshy texture on the inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Capsicum - Yellow, 500 g",FRESH VEGETABLES
"Fresho Capsicum - Yellow, 250 g","Fresho Capsicum - Yellow, 250 g",42,https://www.bigbasket.com/media/uploads/p/s/10000209-4_2-fresho-capsicum-yellow.jpg,"
            Leaving a mild fruity flavour on the tastebuds, Yellow capsicums, also known as Yellow bell peppers are bell shaped, medium-sized fruit pods. They have thick and shiny skin with a fleshy texture on the inside.  Do not forget to check our delicious recipe - https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Capsicum - Yellow, 250 g",FRESH VEGETABLES
"Fresho Zucchini - Yellow, 250 g","Fresho Zucchini - Yellow, 250 g",14,https://www.bigbasket.com/media/uploads/p/s/10000210-4_2-fresho-zucchini-yellow.jpg,"
            Yellow zucchini is a long and slightly fat vegetable, also known as squash. Yellow variant has comparatively softer flesh and tastes sweeter than the green one. Do not forget to check out our delicious recipe-
https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Zucchini - Yellow, 250 g",EXOTIC FRUITS & VEGGIES
"Fresho Zucchini - Yellow, 500 g","Fresho Zucchini - Yellow, 500 g",27,https://www.bigbasket.com/media/uploads/p/s/10000211-4_2-fresho-zucchini-yellow.jpg,"
            Yellow zucchini is a long and slightly fat vegetable, also known as squash. Yellow variant has comparatively softer flesh and tastes sweeter than the green one. Do not forget to check out our delicious recipe-
https://www.bigbasket.com/cookbook/recipes/1404/healthy-stir-fry/ 
","Fresho Zucchini - Yellow, 500 g",EXOTIC FRUITS & VEGGIES
